,tag_Id,Id,dist,positionx,positiony,positionz,orientationx,orientationy,orientationz,orientationw,time
0,tag_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,tag_0,0,0.308017284665,-0.2678134426,-0.113452399551,-0.101248168549,0.996741721706,-0.0190364771859,-0.0734551337637,0.0273476885633,1669637576642901897
0,tag_0,0,0.65472656723,-0.645098975445,0.0965344278663,-0.0564186149503,0.996741721706,-0.0190364771859,-0.0734551337637,0.0273476885633,1669637576646019935
26,tag_26,26,0.252135630332,-0.210406355612,-0.125225824047,-0.0627624057335,0.986591243992,-0.0131250036153,0.0109463327523,0.162313367772,1669637576639698982
26,tag_26,26,0.36093511165,0.171911055139,-0.317593832501,0.0098769542473,0.986591243992,-0.0131250036153,0.0109463327523,0.162313367772,1669637576636692047
