,tag_Id,Id,dist,positionx,positiony,positionz,orientationx,orientationy,orientationz,orientationw,time
14,tag_14,14,0.466327110786659,0.331313551100774,0.327773514732668,0.017935225923193,0.898724966424384,-0.024359054165068,0.42429310204467,-0.108052925749297,1675251988
15,tag_15,15,0.76304801466192,0.7087860495865129,0.2706640981913645,0.0796586772181267,0.9727221647531832,-0.0845645967325062,-0.184606909205035,-0.112163756406042,1675329576
15,tag_15,15,0.7653014367149953,0.7149299965612141,0.2569563584280043,0.0916136407732659,0.9458132514453796,-0.1032483139296761,-0.0782439726965868,-0.2977498275358931,1675329611
